x,y,status
23,4.5,A
13,32.5,A
14.5,36,D
14.5,39.5,D
16,39,A
23.25,3.75,A
19.75,36.75,D
19.75,30.25,D
16.5,30.75,D
15.75,31.75,A
15.5,30.25,A
20,31.5,A
26.75,0.75,A
24.5,30.25,D
22.25,37,A
22.5,36.5,D
25,36.5,D
25.75,35,A
29.5,39,A
29.5,1.5,A
27.75,32,A
39.75,36.25,D
36.5,37,D
30.75,32.75,A
31,32.25,A
32,34.5,A
31.75,35.5,A
30.5,34.25,A
30.25,33,A
38,31.25,D
38.5,30,A
40.75,33,A
42,31,D
43,30.25,D
49.25,31.5,A
49,30.75,A
48.25,35.75,D
49,37.75,D
45.25,36,A
46.5,36.25,D
58.25,30,A
50,39,D
51.5,32,D
51,37.5,A
53.25,37.5,A
59,35,D
59,31.5,D
55.75,31,D
54.25,31,D
57.25,39.5,D
61.25,33.5,A
62,34.25,A
65,32.25,D
64.25,33,D
64.5,33,D
63.75,39.25,A
63.25,38.75,D
64,38,A
67,35,A
70,38.75,D
70.25,31.25,A
72.75,31.25,D
78.25,38,D
78.25,33.75,D
78.25,36.25,D
76.75,31.75,A
77,30.5,D
81,36.25,A
81.25,31.5,A
81,35.5,A
87.5,39,A
