Class,Family,Genus,Species,BodyMass,Invader_NZ
Mammal,Dasyuridae,Planigale,maculata,11,0
Mammal,Thylacomyidae,Macrotis,lagotis,1350,0
Mammal,Thylacomyidae,Macrotis,leucura,354,0
Mammal,Peramelidae,Isoodon,auratus,425,0
Mammal,Peramelidae,Isoodon,macrourus,1600,0
Mammal,Peramelidae,Isoodon,obesulus,775,0
Mammal,Peramelidae,Perameles,nasuta,975,0
Mammal,Peramelidae,Perameles,gunnii,870,0
Mammal,Peramelidae,Perameles,eremiana,500,0
Mammal,Peramelidae,Perameles,bougainville,226,0
Mammal,Peramelidae,Peroryctes,raffrayana,838.5,0
Mammal,Peramelidae,Peroryctes,broadbenti,4800,0
Mammal,Peramelidae,Echymipera,clara,1236.5,0
Mammal,Peramelidae,Echymipera,davidi,950,0
Mammal,Peramelidae,Echymipera,echinista,1000,0
Mammal,Peramelidae,Echymipera,kalubu,782.17,0
Mammal,Peramelidae,Echymipera,rufescens,1100,0
Mammal,Peramelidae,Microperoryctes,longicauda,538,0
Mammal,Peramelidae,Microperoryctes,murina,817.52,0
Mammal,Peramelidae,Microperoryctes,papuensis,158,0
Mammal,Peramelidae,Rhynchomeles,prattorum,817.52,0
Mammal,Phascolarctidae,Phascolarctos,cinereus,10250,0
Mammal,Vombatidae,Lasiorhinus,krefftii,2900,0
Mammal,Vombatidae,Lasiorhinus,latifrons,25500,0
Mammal,Vombatidae,Vombatus,ursinus,26000,0
Mammal,Burramyidae,Burramys,parvus,41.5,0
Mammal,Burramyidae,Cercartetus,nanus,24,0
Mammal,Burramyidae,Cercartetus,caudatus,25,0
Mammal,Burramyidae,Cercartetus,concinnus,13,0
Mammal,Burramyidae,Cercartetus,lepidus,7,0
Mammal,Phalangeridae,Ailurops,melanotis,10000,0
Mammal,Phalangeridae,Ailurops,ursinus,10000,0
Mammal,Phalangeridae,Phalanger,lullulae,1632.5,0
Mammal,Phalangeridae,Phalanger,vestitus,1850,0
Mammal,Phalangeridae,Phalanger,sericeus,2003,0
Mammal,Phalangeridae,Phalanger,rothschildi,1365,0
Mammal,Phalangeridae,Phalanger,ornatus,1787.5,0
Mammal,Phalangeridae,Phalanger,orientalis,2168.75,0
Mammal,Phalangeridae,Phalanger,mimicus,1846.67,0
Mammal,Phalangeridae,Phalanger,matabiru,1846.67,0
Mammal,Phalangeridae,Phalanger,intercastellanus,1747.5,0
Mammal,Phalangeridae,Phalanger,gymnotis,2597.89,0
Mammal,Phalangeridae,Phalanger,carmelitae,2047.5,0
Mammal,Phalangeridae,Phalanger,alexandrae,1846.67,0
Mammal,Phalangeridae,Phalanger,matanim,1550,0
Mammal,Phalangeridae,Spilocuscus,rufoniger,6000,0
Mammal,Phalangeridae,Spilocuscus,kraemeri,5535.39,0
Mammal,Phalangeridae,Spilocuscus,maculatus,5106.75,0
Mammal,Phalangeridae,Spilocuscus,papuensis,5535.39,0
Mammal,Phalangeridae,Strigocuscus,celebensis,500,0
Mammal,Phalangeridae,Strigocuscus,pelengensis,500,0
Mammal,Phalangeridae,Trichosurus,arnhemensis,1300,0
Mammal,Phalangeridae,Trichosurus,caninus,3500,0
Mammal,Phalangeridae,Trichosurus,cunninghami,2293.08,0
Mammal,Phalangeridae,Trichosurus,johnstonii,2293.08,0
Mammal,Phalangeridae,Trichosurus,vulpecula,2650,1
Mammal,Phalangeridae,Wyulda,squamicaudata,1675,0
Mammal,Pseudocheiridae,Hemibelideus,lemuroides,952.5,0
Mammal,Pseudocheiridae,Petauroides,volans,1300,0
Mammal,Pseudocheiridae,Petropseudes,dahli,1640,0
Mammal,Pseudocheiridae,Pseudocheirus,peregrinus,900,0
Mammal,Pseudocheiridae,Pseudochirulus,caroli,456.02,0
Mammal,Pseudocheiridae,Pseudochirulus,schlegeli,255.44,0
Mammal,Pseudocheiridae,Pseudochirulus,mayeri,151.75,0
Mammal,Pseudocheiridae,Pseudochirulus,larvatus,448.3,0
Mammal,Pseudocheiridae,Pseudochirulus,herbertensis,1098.34,0
Mammal,Pseudocheiridae,Pseudochirulus,forbesi,639.16,0
Mammal,Pseudocheiridae,Pseudochirulus,cinereus,977.48,0
Mammal,Pseudocheiridae,Pseudochirulus,canescens,300,0
Mammal,Pseudocheiridae,Pseudochirops,albertisii,784.85,0
Mammal,Pseudocheiridae,Pseudochirops,archeri,1091.5,0
Mammal,Pseudocheiridae,Pseudochirops,corinnae,1123,0
Mammal,Pseudocheiridae,Pseudochirops,coronatus,1500,0
Mammal,Pseudocheiridae,Pseudochirops,cupreus,1724.5,0
Mammal,Petauridae,Dactylopsila,tatei,252,0
Mammal,Petauridae,Dactylopsila,trivirgata,413.53,0
Mammal,Petauridae,Dactylopsila,palpator,398,0
Mammal,Petauridae,Dactylopsila,megalura,277.74,0
Mammal,Petauridae,Gymnobelideus,leadbeateri,127,0
Mammal,Petauridae,Petaurus,abidi,278,0
Mammal,Petauridae,Petaurus,breviceps,106.28,0
Mammal,Petauridae,Petaurus,norfolcensis,230,0
Mammal,Petauridae,Petaurus,australis,575,0
Mammal,Petauridae,Petaurus,gracilis,353,0
Mammal,Petauridae,Petaurus,biacensis,90.98,0
Mammal,Tarsipedidae,Tarsipes,rostratus,9,0
Mammal,Acrobatidae,Acrobates,pygmaeus,12,0
Mammal,Acrobatidae,Distoechurus,pennatus,44.1,0
Mammal,Macropodidae,Lagorchestes,leporides,3000,0
Mammal,Macropodidae,Lagorchestes,hirsutus,1265,0
Mammal,Macropodidae,Lagorchestes,conspicillatus,3050,0
Mammal,Macropodidae,Lagorchestes,asomatus,1500,0
Mammal,Macropodidae,Macropus,fuliginosus,22000,0
Mammal,Macropodidae,Macropus,giganteus,25875,0
Mammal,Macropodidae,Macropus,parryi,13500,0
Mammal,Macropodidae,Macropus,dorsalis,11250,1
Mammal,Macropodidae,Macropus,eugenii,6500,1
Mammal,Macropodidae,Macropus,greyi,10000,0
Mammal,Macropodidae,Macropus,parma,4500,1
Mammal,Macropodidae,Macropus,agilis,15000,0
Mammal,Macropodidae,Macropus,rufogriseus,16850,0
Mammal,Macropodidae,Macropus,irma,8000,0
Mammal,Macropodidae,Macropus,antilopinus,27250,0
Mammal,Macropodidae,Macropus,robustus,21262.5,0
Mammal,Macropodidae,Macropus,bernardus,17000,0
Mammal,Macropodidae,Macropus,rufus,46250,0
Mammal,Macropodidae,Dendrolagus,inustus,13031.25,0
Mammal,Macropodidae,Dendrolagus,lumholtzi,6750,0
Mammal,Macropodidae,Dendrolagus,matschiei,6960,0
Mammal,Macropodidae,Dendrolagus,mbaiso,9395.06,0
Mammal,Macropodidae,Dendrolagus,pulcherrimus,9511.11,0
Mammal,Macropodidae,Dendrolagus,scottae,10375,0
Mammal,Macropodidae,Dendrolagus,spadix,9100,0
Mammal,Macropodidae,Dendrolagus,stellarum,9511.11,0
Mammal,Macropodidae,Dendrolagus,ursinus,13250,0
Mammal,Macropodidae,Dendrolagus,bennettianus,10950,0
Mammal,Macropodidae,Dendrolagus,dorianus,9581,0
Mammal,Macropodidae,Dendrolagus,goodfellowi,8025,0
Mammal,Macropodidae,Dorcopsis,luctuosa,6352,0
Mammal,Macropodidae,Dorcopsis,muelleri,5500,0
Mammal,Macropodidae,Dorcopsis,hageni,5500,0
Mammal,Macropodidae,Dorcopsis,atrata,5916.5,0
Mammal,Macropodidae,Dorcopsulus,vanheurni,1785.75,0
Mammal,Macropodidae,Dorcopsulus,macleayi,2988,0
Mammal,Macropodidae,Onychogalea,unguifera,6650,0
